eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0.00047778,0.0001,0.0004777,0.0028689,0.00016382,0.17114376,2.43502071
0.00048336,0.0001,0.00048328,0.00043228,0.00016453,0.16989687,2.43527026
0.00048825,0.0001,0.00048817,0.00111392,0.00016481,0.16848183,2.43555121
0.00048879,0.0001,0.00048871,0.00092421,0.00016362,0.16707838,2.43582749
0.00049132,0.0001,0.00049123,0.00168223,0.00016247,0.16503938,2.43622469
0.00049543,0.0001,0.00049535,0.00090141,0.00016202,0.16321156,2.43657654
0.0004999,0.0001,0.00049981,0.00086173,0.00016147,0.16119598,2.43695992
0.0005012,0.0001,0.00050111,0.0008403,0.00016006,0.15936927,2.43730319
0.00050207,0.0001,0.00050198,0.00124228,0.00015884,0.15788072,2.43757998
0.00050396,0.0001,0.00050388,0.00098015,0.00015796,0.15640584,2.43785163
0.00050634,0.0001,0.00050625,0.00064965,0.00015715,0.15487426,2.43813099
0.00050685,0.0001,0.00050676,0.00049534,0.00015607,0.1536511,2.43835209
0.00050622,0.0001,0.00050613,0.00029469,0.00015465,0.15243738,2.43856973
0.00050478,0.0001,0.00050469,0.00111429,0.00015301,0.15124947,2.43878105
0.00050475,0.0001,0.00050467,0.00112606,0.00015173,0.1499892,2.43900342
0.00050697,0.0001,0.00050688,0.00070225,0.000151,0.14861496,2.43924376
0.00050786,0.0001,0.00050777,0.00071006,0.00015014,0.14750349,2.4394365
0.00050781,0.0001,0.00050773,0.00038395,0.000149,0.14640012,2.43962639
0.00050704,0.0001,0.00050696,8.338e-05,0.00014764,0.14527743,2.43981813
0.00050459,0.0001,0.00050451,0.00038314,0.00014566,0.1440287,2.44002965
0.00050331,0.0001,0.00050323,0.00048158,0.00014464,0.14338017,2.44013877
0.00050284,0.0001,0.00050275,0.00052971,0.00014409,0.14297085,2.44020739
0.00050249,0.0001,0.0005024,2.946e-05,0.00014358,0.1425627,2.44027562
0.00050164,0.0001,0.00050155,0.00069132,0.00014286,0.14208815,2.44035469
0.00050066,0.0001,0.00050057,0.00069877,0.00014191,0.14141523,2.44046637
0.00050056,0.0001,0.00050048,0.00023062,0.00014071,0.14024532,2.44065926
