dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0.010000000000000009,0.02640323,0.06233694,0.03200941,0.58289218,2.23087209
0.010000000000000009,0.02697168,0.06387505,0.03230667,0.57539151,2.23727209
0.010000000000000009,0.02755162,0.06541941,0.03260454,0.56794298,2.24349086
0.010000000000000009,0.02814277,0.0669681,0.03290271,0.56055027,2.2495318
0.010000000000000009,0.028732,0.06852205,0.03320078,0.55321687,2.25539835
0.010000000000000009,0.02933146,0.07007839,0.0334835,0.54594612,2.26109398
0.010000000000000009,0.02994204,0.07163668,0.03376508,0.53874113,2.26662218
0.010000000000000009,0.0305502,0.0731962,0.03404672,0.53160486,2.27198649
0.010000000000000009,0.03116901,0.07475688,0.03431326,0.52454008,2.27719045
0.010000000000000009,0.03179835,0.07631586,0.03457953,0.51754939,2.28223759
0.010000000000000009,0.03242537,0.07787383,0.03484561,0.51063521,2.28713147
0.010000000000000009,0.03306297,0.0794297,0.03509762,0.50379979,2.29187563
0.010000000000000009,0.03371113,0.08098241,0.03534976,0.49704524,2.29647361
0.010000000000000009,0.03435728,0.08253138,0.03560223,0.49037349,2.30092894
