eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
6.092e-05,0.010000000000000009,5.998e-05,3.8e-06,5.434e-05,0.44598562,2.33027151
6.056e-05,0.010000000000000009,5.962e-05,4.38e-06,5.32e-05,0.43915117,2.33421778
6.02e-05,0.010000000000000009,5.926e-05,4.72e-06,5.206e-05,0.43239062,2.33804387
5.983e-05,0.010000000000000009,5.89e-05,4.1e-06,5.095e-05,0.42570303,2.34175391
5.945e-05,0.010000000000000009,5.852e-05,4.38e-06,4.983e-05,0.41909281,2.34534887
5.906e-05,0.010000000000000009,5.813e-05,3.45e-06,4.873e-05,0.41255601,2.34883441
5.865e-05,0.010000000000000009,5.772e-05,9.71e-06,4.764e-05,0.40609994,2.35220973
5.83e-05,0.010000000000000009,5.737e-05,1.78e-05,4.661e-05,0.3997214,2.35547985
5.802e-05,0.010000000000000009,5.709e-05,1.224e-05,4.565e-05,0.39341705,2.35864962
5.767e-05,0.010000000000000009,5.675e-05,0.00010781,4.466e-05,0.38718745,2.36172164
5.828e-05,0.010000000000000009,5.734e-05,0.00021615,4.441e-05,0.38103882,2.36469555
5.995e-05,0.010000000000000009,5.898e-05,0.00010894,4.496e-05,0.37496776,2.36757593
6.052e-05,0.010000000000000009,5.955e-05,0.00026199,4.467e-05,0.36897228,2.37036645
6.261e-05,0.010000000000000009,6.16e-05,0.00051631,4.547e-05,0.36305763,2.37306713
6.722e-05,0.010000000000000009,6.613e-05,0.00080222,4.803e-05,0.35722324,2.3756808
7.463e-05,0.010000000000000009,7.342e-05,0.00031293,5.247e-05,0.3514673,2.3782109
7.707e-05,0.010000000000000009,7.581e-05,0.00079152,5.331e-05,0.34579344,2.38065807
8.426e-05,0.010000000000000009,8.288e-05,0.00068895,5.734e-05,0.34019487,2.38302778
9.035e-05,0.010000000000000009,8.887e-05,0.00064274,6.048e-05,0.33466976,2.38532296
9.59e-05,0.010000000000000009,9.432e-05,8.56e-05,6.315e-05,0.32921949,2.38754501
9.581e-05,0.010000000000000009,9.423e-05,0.00021888,6.207e-05,0.32384858,2.38969413
9.704e-05,0.010000000000000009,9.544e-05,0.0003733,6.184e-05,0.31855151,2.39177461
9.979e-05,0.010000000000000009,9.814e-05,8.09e-05,6.255e-05,0.31333176,2.39378694
9.958e-05,0.010000000000000009,9.793e-05,0.00169915,6.139e-05,0.30818621,2.39573425
0.00011553,0.010000000000000009,0.00011361,0.00139196,7.005e-05,0.3031092,2.3976205
0.00012823,0.010000000000000009,0.0001261,0.00016781,7.647e-05,0.2981041,2.39944611
0.00012854,0.010000000000000009,0.0001264,0.00018923,7.539e-05,0.29317449,2.40121129
0.00012905,0.010000000000000009,0.0001269,0.00103225,7.444e-05,0.28832347,2.40291662
0.00013796,0.010000000000000009,0.00013566,0.00041774,7.826e-05,0.28354529,2.40456583
0.00014062,0.010000000000000009,0.00013826,0.00017746,7.844e-05,0.27883836,2.40616105
0.00014082,0.010000000000000009,0.00013846,0.00019565,7.725e-05,0.27420327,2.40770351
0.00014119,0.010000000000000009,0.00013882,0.00179752,7.617e-05,0.26964064,2.40919446
