t,params,num_params,num_time_steps,error_bound,error_grad,resid,fidelity,true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0.0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,20,0.040000000000000153,0.800000000000003,3.542888763107565e-08,1.0,0.0,0.0,0.0,0j,0j,0j,,1.64,(1.64+0j),0.9999999850878534,0.9999999925439244
0.05,"[ 0.00000000e+00 -5.00000000e-08 -2.80000000e-07  1.00000000e-08
  1.57079633e+00  1.57079638e+00  1.00000000e-08  1.00000000e-01]",8,20,0.07980016661591877,0.7960033323183722,1.1476953678295194e-07,0.99840085,0.03999733,0.002863356453152164,0.04001952377352647,0j,(-0+0j),(-0+0j),,1.6400000000579298,(1.6400000000579298+4.000432536940359e-26j),1.0063786794815506,1.0063786872387637
0.1,"[-3.00000000e-08 -1.20000000e-07 -6.80000000e-07  1.00000000e-08
  1.57878300e+00  1.57079645e+00 -1.00000000e-08  2.00000000e-01]",8,20,0.1186035003436113,0.7760666745538507,8.527083535562316e-08,0.9937242,0.07928229,0.008268593886510215,0.07961531736145931,-0j,(2e-08+0j),(2e-08+0j),,1.627476179313811,(1.6274761793138106+0j),1.0251966797723862,1.0251966878665624
0.15000000000000002,"[-9.00000000e-08 -1.90000000e-07 -1.24000000e-06  2.00000000e-08
  1.59467655e+00  1.57079651e+00 -1.00000000e-08  2.99996810e-01]",8,20,0.155623100174115,0.7403919966100734,4.611810310863738e-07,0.98636731,0.11695928,0.016161000574055118,0.11797038053834974,0j,(7e-08+0j),(7e-08+0j),,1.6035016020785064,(1.603501602078501+0j),1.0553212767847546,1.055321285109505
0.2,"[-2.60000000e-07 -2.60000000e-07 -2.00000000e-06  3.00000000e-08
  1.61831792e+00  1.57079660e+00 -4.00000000e-08  3.99968300e-01]",8,20,0.19009084842629306,0.6893549650435616,8.850732829885915e-07,0.97697918,0.15216718,0.02640284443397605,0.15428323711603545,0j,(1.5e-07+0j),(1.5e-07-0j),,1.5699929634852487,(1.569992963485227+0j),1.0947826784883028,1.0947826870716706
0.25,"[-5.50000000e-07 -3.30000000e-07 -2.98000000e-06  4.00000000e-08
  1.64946905e+00  1.57079671e+00 -7.00000000e-08  4.99855400e-01]",8,20,0.22126734396160055,0.6235299107061498,1.4322447836181765e-06,0.96639445,0.18409978,0.038787939491204695,0.1877789381623832,0j,(2.7e-07+0j),(2.7e-07-0j),,1.5296383083033096,(1.529638308303238+0j),1.1408487411442896,1.1408487499511901
0.30000000000000004,"[-1.02000000e-06 -4.50000000e-07 -4.20000000e-06  5.00000000e-08
  1.68781294e+00  1.57079679e+00 -8.00000000e-08  5.99546090e-01]",8,20,0.2484535297246404,0.5437237152607969,2.0969731491233016e-06,0.95554847,0.2120302,0.05305115404918311,0.21772243053883353,0j,(5.1e-07+0j),(5.1e-07+0j),,1.48577978226934,(1.4857797822690793-5.668543674793932e-23j),1.1901442857574664,1.1901442947449012
0.35000000000000003,"[-1.66000000e-06 -6.20000000e-07 -6.07000000e-06  5.00000000e-08
  1.73295436e+00  1.57079698e+00 -3.00000000e-08  6.98862230e-01]",8,20,0.2710041011187358,0.45101142788190796,3.100639301524751e-06,0.94538153,0.23534093,0.0688795258981219,0.2434350320074725,0j,(7e-07+0j),(7e-07+0j),,1.4422388283438372,(1.442238828343342+0j),1.2388275019768948,1.2388275111203273
0.4,"[-2.55000000e-06 -8.70000000e-07 -8.11000000e-06  1.00000000e-08
  1.78442213e+00  1.57079709e+00  1.00000000e-07  7.97550340e-01]",8,20,0.2883423436181738,0.3467648499887598,3.930310590223303e-06,0.9367404,0.25356064,0.0859257880944969,0.26431437825886656,0j,(1.05e-06+0j),(1.05e-06+0j),,1.4030765119196824,(1.4030765119185866+0j),1.2828306318521068,1.2828306412920312
0.45,"[-3.56000000e-06 -1.00000000e-06 -1.02700000e-05 -7.00000000e-08
  1.84167391e+00  1.57079722e+00  3.40000000e-07  8.95277210e-01]",8,20,0.29997558822585885,0.23266489215370095,4.334800669474173e-06,0.93028563,0.26640887,0.10382427360810209,0.2798578488009135,0j,(1.14e-06-0j),(1.14e-06-0j),,1.372293368865123,(1.3722933688638308+1.262096518267869e-22j),1.3181603974352851,1.3181604071297575
0.0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,20,0.04002390609244436,0.8004781218488872,0.014340433960097093,1.0,0.0,0.0,0.0,0j,0j,0j,,1.64,(1.64+0j),0.9542984312286575,0.9767666038349677
0.05,"[-7.48470000e-04 -3.78710000e-04  0.00000000e+00  0.00000000e+00
  1.57004785e+00  1.57041762e+00 -7.48470000e-04  9.76766600e-02]",8,20,0.07989637616993298,0.7974494015497721,0.014836241157293262,0.998396,0.04005796,0.002863356453152164,0.0400603406749046,0j,(0.00129551+0j),(0.00129551+0j),,1.6411923019026697,(1.641190623551752-1.7978838365078036e-20j),0.9584499940031498,0.981858373936865
0.1,"[-1.59503000e-03 -8.07490000e-04 -3.00000000e-08 -3.69800000e-05
  1.57694847e+00  1.56999400e+00 -1.45607000e-03  1.95323150e-01]",8,20,0.11885640273978232,0.779200531396987,0.015336215921469233,0.99369334,0.07947728,0.00834535762839908,0.07976126543673,-0j,(0.00262565+0j),(0.00262565+0j),,1.6303458295179625,(1.6303389354645244-7.287650912248473e-20j),0.9741069458462831,0.9986496536174493
0.15000000000000002,"[-2.51940000e-03 -1.29712000e-03 -1.80000000e-07 -1.15800000e-04
  1.59142548e+00  1.56953107e+00 -2.10903000e-03  2.92940270e-01]",8,20,0.156152721479058,0.7459263747855137,0.015856566175541233,0.98626425,0.11740217,0.016399036782382546,0.11832478996789342,0j,(0.00395239+0j),(0.00395239+0j),,1.6084067019954724,(1.608391080613797-4.38803367289895e-19j),1.000265281285125,1.0261329133399695
0.2,"[-3.49923000e-03 -1.85989000e-03 -5.90000000e-07 -2.42370000e-04
  1.61333167e+00  1.56903479e+00 -2.69504000e-03  3.90511150e-01]",8,20,0.191051847066583,0.6979825117505,0.01640981289100742,0.97672468,0.15301122,0.026896918560281702,0.15498843201116214,0j,(0.00523797+0j),(0.00523797-0j),,1.5770956302130872,(1.5770681939318985-2.9076548764711443e-19j),1.0351772492634481,1.0625466463834992
0.25,"[-4.51084000e-03 -2.50882000e-03 -1.44000000e-06 -4.23660000e-04
  1.64244554e+00  1.56851136e+00 -3.20388000e-03  4.87985130e-01]",8,20,0.22284731131364185,0.6359092849411766,0.017006956802766985,0.96587241,0.18553712,0.039645384591737554,0.18901571135829853,0j,(0.00644733+0j),(0.00644733-0j),,1.5388443347528387,(1.5388027667494055+0j),1.076407503446865,1.1054356097626525
0.05,"[-1.49693000e-03 -7.57410000e-04  0.00000000e+00  0.00000000e+00
  1.56929940e+00  1.57003892e+00 -1.49693000e-03  1.95353380e-01]",8,20,,,1.2349622979339951,0.0417191611068316,0.9961221,0.11510506,,,0.0,0.00245936,0.00245936,,1.6423513082946886,1.6423452598227286,3.855881908166538,1.9865506695714064
0.1,"[-4.29963000e-03 -2.20827000e-03 -2.60000000e-07 -1.47160000e-04
  1.59731733e+00  1.56863000e+00 -3.76591000e-03  3.89650460e-01]",8,20,,,1.1997731669825271,0.061893514158893964,0.98513106,0.22741717,,,0.0,0.00629679,0.00629679,,1.6007658981503938,1.6007262485880926,4.0314116265861095,2.0963609362626103
0.15000000000000002,"[-8.82766000e-03 -4.79371000e-03 -2.83000000e-06 -5.72750000e-04
  1.65309026e+00  1.56631270e+00 -7.04890000e-03  5.82375510e-01]",8,20,,,1.1444776358660664,0.08840905583235004,0.96859775,0.33508207,,,0.0,0.01132654,0.01132654,,1.530216176057023,1.5300878855886602,4.282535861641184,2.251461489350313
0.2,"[-1.53308500e-02 -9.05533000e-03 -1.53000000e-05 -1.48461000e-03
  1.73375506e+00  1.56287200e+00 -1.15959700e-02  7.72590050e-01]",8,20,,,1.081374149595201,0.11751421232970696,0.94871116,0.43626499,,,0.0,0.01665771,0.01665771,,1.4542791523313567,1.4540016731383938,4.531232413853427,2.40807075738602
0.25,"[-2.36556700e-02 -1.55013100e-02 -5.55400000e-05 -3.17079000e-03
  1.83565815e+00  1.55826430e+00 -1.75724200e-02  9.58783370e-01]",8,20,,,1.0305099131454163,0.14204882098427477,0.92796452,0.52925154,,,0.0,0.02061958,0.02061958,,1.399744807471294,1.3993196402454031,4.706578560747233,2.522186343563777
0.3,"[-3.30472900e-02 -2.43846100e-02 -1.45690000e-04 -5.96440000e-03
  1.95478776e+00  1.55276948e+00 -2.48947000e-02  1.13896364e+00]",8,20,,,1.0146348136640566,0.15315369949843793,0.90874899,0.61273872,,,0.0,0.02120825,0.02120825,,1.3898110578769227,1.389361268076731,4.760775720342245,2.5605514865600365
0.35,"[-4.21588200e-02 -3.54836000e-02 -2.76750000e-04 -1.01579300e-02
  2.08722001e+00  1.54707142e+00 -3.30110500e-02  1.31086104e+00]",8,20,,,1.0473018285230784,0.1445661288028575,0.89294562,0.68619681,,,0.0,0.01708513,0.01708513,,1.437950155600899,1.437658254004019,4.670472208947512,2.5057906222603137
0.39999999999999997,"[-4.93930700e-02 -4.80395000e-02 -3.59980000e-04 -1.58811100e-02
  2.22938154e+00  1.54214814e+00 -4.07035700e-02  1.47202068e+00]",8,20,,,1.1235586510488649,0.1174156656265477,0.88165717,0.7501099,,,0.0,0.00859212,0.00859212,,1.5446618705797457,1.544588046082534,4.429442174978622,2.3558600016058113
0.44999999999999996,"[-5.34752700e-02 -6.09530100e-02 -2.46240000e-04 -2.29835000e-02
  2.37801777e+00  1.53893278e+00 -4.60211000e-02  1.61967717e+00]",8,20,,,1.2237812822469851,0.08196529271298691,0.87514779,0.80594562,,,0.0,-0.002095,-0.002095,,1.697769124522695,1.697764735483218,4.0464276650779984,2.123278081411309
0.49999999999999994,"[-5.38633300e-02 -7.31659400e-02  1.47570000e-04 -3.09765700e-02
  2.53001904e+00  1.53788497e+00 -4.63812100e-02  1.75058639e+00]",8,20,,,1.3250533043325392,0.05485366379322611,0.87294499,0.85586133,,,0.0,-0.01201175,-0.01201175,,1.8755611265278733,1.8754168443428898,3.5528069997683485,1.8363009334868208
0.5499999999999999,"[-5.05739100e-02 -8.39991400e-02  7.23140000e-04 -3.90802700e-02
  2.68241462e+00  1.53873268e+00 -3.89020700e-02  1.86111850e+00]",8,20,,,1.4004735307998595,0.052147793138982775,0.87402606,0.90221049,,,0.0,-0.01885621,-0.01885621,,2.0519658183298115,2.0516102617029137,2.9535248609203166,1.5220822843895516
0.6,"[-4.41783000e-02 -9.34316600e-02  1.03720000e-03 -4.62826700e-02
  2.83138919e+00  1.54024374e+00 -2.55880000e-02  1.94669346e+00]",8,20,,,1.4588113396127431,0.055677926494105384,0.87733493,0.94294252,,,0.0,-0.02317626,-0.02317626,,2.2009016853877306,2.200364546513303,2.439834355584084,1.2563027581945443
0.65,"[-3.38126900e-02 -1.01188860e-01  1.06339000e-03 -5.17955100e-02
  2.97628537e+00  1.54169292e+00 -1.23918500e-02  2.00561995e+00]",8,20,,,1.4917560429502066,0.06247308191772157,0.88108251,0.9736544,,,0.0,-0.0249165,-0.0249165,,2.3065493904748524,2.3059285585266034,2.0379024178539042,1.0595578583251488
0.7000000000000001,"[-2.01336100e-02 -1.06740480e-01  9.53820000e-04 -5.49592500e-02
  3.11609823e+00  1.54256154e+00 -8.91125000e-03  2.03691305e+00]",8,20,,,1.5144608541546762,0.06317414247428775,0.88371678,0.9868485,,,0.0,-0.02413651,-0.02413651,,2.360655946899903,2.3600733756083123,1.8940936566269087,0.9805789623799498
0.7500000000000001,"[-4.37487000e-03 -1.09219360e-01  8.70990000e-04 -5.55411500e-02
  3.25436204e+00  1.54321804e+00 -8.75136000e-03  2.04245021e+00]",8,20,,,1.5124428046152572,0.06539763461461517,0.88282001,0.98899819,,,0.0,-0.0205788,-0.0205788,,2.364193971332749,2.3637704844238,1.9108772833194345,0.9937940087098595
0.8000000000000002,"[ 1.19220000e-02 -1.08522300e-01  8.60150000e-04 -5.33315100e-02
  3.39192240e+00  1.54340853e+00 -7.25215000e-03  2.02236030e+00]",8,20,,,1.4960861108511552,0.06997659950626792,0.87704566,0.98440875,,,0.0,-0.016512,-0.016512,,2.3181928015732742,2.3179201555932645,2.1427183407732344,1.111318745632387
0.8500000000000002,"[ 2.97144200e-02 -1.04433610e-01  8.57690000e-04 -4.84488100e-02
  3.53188406e+00  1.54340091e+00 -6.08720000e-04  1.97754000e+00]",8,20,,,1.4497928204788888,0.08456318188099775,0.86491171,0.97723544,,,0.0,-0.01284955,-0.01284955,,2.226964952017374,2.226799840955458,2.4681133215301974,1.2965895256177196
0.9000000000000002,"[ 4.92346100e-02 -9.68664500e-02  7.43100000e-04 -4.13021000e-02
  3.67352988e+00  1.54336288e+00  8.36407000e-03  1.90928650e+00]",8,20,,,1.399897647709045,0.1035877681349861,0.84651291,0.96613544,,,0.0,-0.01040056,-0.01040056,,2.0991616206812393,2.0990534489430637,2.9988344206129467,1.5691413086164343
